
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
 30, 787393701 
 32, 787401222 
 33, 787409405 
 34, 787410272 
 35, 787410928 
 36, 787411547 
 37, 787412274 
 38, 787413028 
 39, 787413647 
 40, 787414302 
 41, 787415094 
 42, 787415711 
 43, 787416392 
 44, 787418694 
 45, 787419422 
 46, 787420166 
 47, 787420820 
 48, 787421514 
 49, 787422225 
 50, 787422977 
 51, 787423686 
 52, 787424349 
 53, 787425039 
 54, 787425660 
 55, 787426301 
 56, 787426922 
 58, 787427610 
 60, 787434212 
 61, 787438441 
 1, 942997948 
 2, 943000289 
 3, 943001147 
 4, 943001869 
 5, 943002593 
 6, 943003288 
 7, 943004051 
 8, 943004755 
 9, 943005482 
 10, 943006185 
 11, 943006953 
 12, 943007646 
 13, 943008409 
 14, 943010821 
 15, 943011559 
 17, 943012251 
 19, 943324042 
 20, 943328561 
 21, 943329362 
 22, 943330020 
 23, 943330727 
 24, 943331422 
 25, 943332084 
 26, 943332797 
 27, 943333442 
 28, 943334182 
 29, 943334914 
 30, 943335578 
 31, 943339977 
 8, 944525183 
 9, 944530430 
 10, 944531210 
 11, 944531986 
 12, 944532710 
 13, 944533376 
 14, 944534054 
 15, 944534740 
 16, 944535363 
 17, 944536090 
 18, 944536780 
 19, 944537405 
 21, 944538142 
 22, 944542342 
 23, 944543175 
 24, 944545399 
 25, 944546084 
 26, 944546763 
 27, 944547382 
 28, 944548005 
 29, 944548708 
 30, 944549430 
 31, 944550054 
 32, 944550823 
 33, 944551485 
 34, 944552177 
 35, 944552839 
 36, 944553489 
 37, 944554123 
 38, 944554852 
 39, 944556675 
 1, 945489882 
 2, 945491779 
 3, 945492507 
 4, 945493171 
 5, 945494217 
 6, 945494886 
 7, 945495612 
 8, 945496236 
 9, 945496947 
 10, 945497663 
 11, 945498391 
 12, 945499077 
 13, 945499752 
 14, 945500457 
 15, 945502418 
 16, 945503080 
 17, 945503783 
 18, 945504402 
 19, 945505056 
 20, 945505722 
 21, 945506451 
 22, 945507102 
 23, 945507726 
 24, 945508371 
 25, 945509009 
 26, 945509631 
 27, 945510256 
 28, 945510921 
 29, 945511563 
 30, 945513378 
 31, 945514040 
 1, 945922290 
 2, 945924072 
 3, 945924754 
 4, 945925373 
 5, 945926033 
 6, 945926663 
 7, 945927340 
 8, 945927978 
 9, 945928636 
 10, 945929271 
 11, 945929894 
 12, 945930543 
 13, 945932682 
 14, 945933329 
 15, 945933959 
 16, 945934615 
 17, 945935311 
 18, 945935954 
 19, 945936597 
 20, 945937252 
 21, 945937921 
 22, 945938542 
 23, 945939181 
 24, 945939841 
 25, 945940480 
 26, 945941126 
 27, 945941819 
 28, 945943556 
 29, 945944195 
 30, 945944842 
 31, 945945464 
 1, 946595451 
 2, 946597285 
 3, 946597964 
 4, 946598628 
 5, 946599284 
 6, 946599907 
 7, 946600585 
 8, 946601242 
 9, 946601879 
 10, 946602502 
 11, 946603152 
 12, 946603776 
 13, 946604457 
 14, 946605108 
 15, 946607181 
 16, 946607802 
 17, 946608466 
 18, 946609109 
 19, 946609730 
 20, 946610352 
 21, 946611018 
 22, 946611657 
 23, 946612282 
 24, 946612904 
 25, 946613562 
 26, 946614183 
 27, 946614830 
 28, 946615464 
 29, 946616120 
 30, 946617984 
 31, 946618617 
 1, 947154466 
 2, 947156352 
 3, 947157005 
 4, 947157927 
 5, 947158625 
 6, 947159288 
 7, 947159965 
 8, 947160659 
 9, 947161325 
 10, 947162000 
 11, 947162654 
 12, 947163335 
 13, 947165495 
 14, 947166148 
 15, 947166826 
 16, 947167486 
 17, 947168150 
 18, 947168829 
 19, 947169489 
 20, 947170108 
 21, 947170777 
 22, 947171428 
 1, 947782863 
 2, 947784689 
 3, 947785383 
 4, 947786011 
 5, 947786677 
 6, 947787320 
 7, 947788003 
 8, 947788657 
 9, 947789356 
 10, 947790013 
 11, 947790669 
 12, 947791325 
 13, 947792000 
 14, 947792683 
 15, 947794601 
 16, 947795267 
 17, 947795901 
 18, 947796561 
 19, 947797209 
 1, 948302935 
 2, 948304795 
 3, 948305504 
 4, 948306128 
 5, 948306788 
 6, 948307409 
 7, 948308099 
 8, 948308725 
 9, 948309385 
 10, 948311515 
 1, 948717022 
 1, 949103134 
 2, 949104968 
 3, 949105636 
 4, 949106385 
 5, 949107038 
 6, 949107696 
 7, 949108369 
 8, 949108990 
 9, 949109690 
 10, 949110315 
 11, 949110940 
 12, 949113214 
 13, 949113897 
 14, 949114550 
 15, 949115288 
 16, 949115924 
 17, 949116635 
 18, 949117295 
 19, 949117919 
 20, 949118562 
 21, 949119228 
 1, 949638617 
 2, 949640501 
 3, 949641191 
 4, 949641849 
 5, 949642500 
 6, 949643151 
 7, 949643839 
 8, 949644495 
 9, 949645168 
 10, 949645856 
 11, 949646513 
 12, 949647165 
 13, 949647840 
 14, 949648487 
 15, 949650542 
 16, 949651167 
 17, 949651806 
 18, 949652449 
 19, 949653072 
 20, 949653720 
 21, 949654388 
 22, 949655026 
 23, 949655892 
 24, 949656550 
 25, 949657328 
 26, 949657975 
 27, 949658667 
 28, 949659304 
 29, 949660005 
 30, 949661794 
 31, 949662470 
 1, 950101306 
 2, 950103136 
 3, 950103877 
 4, 950104541 
 1, 950492338 
 2, 950494101 
 3, 950494824 
 4, 950495447 
 5, 950496167 
 6, 950496840 
 7, 950497519 
 8, 950499735 
 9, 950500410 
 10, 950501081 
 11, 950501706 
 12, 950502403 
 13, 950503080 
 14, 950503729 
 15, 950504477 
 16, 950505150 
 17, 950505816 
 18, 950506440 
 19, 950507085 
 20, 950507708 
 21, 950508379 
 22, 950509026 
 23, 950510745 
 24, 950511383 
 25, 950512020 
 26, 950512680 
 27, 950513329 
 28, 950513982 
 29, 950514642 
 30, 950515268 
 72, 951043597 
 73, 951048827 
 74, 951049568 
 75, 951050239 
 76, 951050861 
 77, 951051499 
 78, 951052127 
 79, 951052792 
 80, 951053464 
 81, 951054122 
 82, 951054780 
 83, 951055397 
 84, 951056017 
 85, 951056678 
 86, 951057327 
 87, 951059303 
 88, 951059929 
 89, 951060604 
 90, 951061264 
 91, 951061896 
 92, 951062539 
 93, 951063211 
 94, 951063833 
 95, 951064459 
 96, 951065100 
 97, 951065738 
 98, 951066361 
 99, 951067013 
 100, 951067681 
 101, 951068322 
 102, 951070152 
 103, 951070806 
 52, 951490110 
 53, 951495340 
 54, 951496107 
 55, 951496733 
 56, 951497361 
 57, 951498019 
 58, 951498636 
 59, 951499313 
 60, 951499960 
 61, 951500609 
 62, 951501261 
 63, 951501878 
 64, 951502561 
 65, 951504706 
 66, 951505360 
 67, 951506017 
 68, 951506641 
 69, 951507659 
 70, 951508383 
 71, 951509110 
 171, 951908280 
 172, 951913701 
 173, 951914449 
 174, 951915117 
 175, 951915766 
 176, 951916467 
 177, 951917151 
 178, 951917831 
 179, 951920056 
 180, 951920740 
 181, 951921361 
 182, 951922043 
 183, 951922705 
 184, 951923341 
 185, 951924025 
 186, 951924730 
 187, 951925354 
 188, 951926095 
 189, 951926753 
 190, 951927424 
 191, 951928049 
 192, 951928731 
 193, 951929356 
 194, 951931199 
 195, 951931821 
 196, 951932493 
 197, 951933115 
 198, 951933766 
 199, 951934437 
 200, 951935086 
 201, 951935710 
 202, 951936333 
 377, 952463468 
 378, 952468845 
 379, 952469560 
 380, 952470218 
 381, 952470865 
 382, 952471504 
 384, 952472132 
 385, 952476338 
 388, 952477067 
 389, 952479057 
 390, 952479764 
 391, 952480437 
 392, 952481095 
 393, 952481782 
 394, 952482453 
 395, 952484487 
 396, 952485119 
 397, 952485831 
 398, 952486488 
 399, 952487161 
 400, 952487786 
 401, 952488584 
 402, 952489316 
 403, 952489940 
 404, 952490572 
 405, 952491251 
 406, 952491899 
 407, 952493313 
 408, 952494005 
 309, 953503947 
 310, 953510839 
 311, 953511656 
 312, 953512268 
 313, 953512879 
 314, 953513535 
 315, 953514136 
 316, 953514769 
 317, 953515395 
 318, 953516071 
 319, 953516674 
 320, 953517365 
 321, 953518040 
 322, 953518662 
 323, 953519352 
 324, 953520046 
 325, 953521810 
 326, 953522500 
 327, 953523160 
 328, 953523764 
 329, 953524407 
 330, 953525039 
 331, 953525648 
 332, 953526284 
 333, 953526888 
 334, 953527557 
 335, 953528202 
 336, 953528827 
 337, 953529670 
 338, 953530325 
 339, 953530994 
 340, 953532813 
 32, 954058360 
 33, 954063328 
 34, 954064100 
 35, 954064733 
 36, 954065363 
 37, 954066039 
 38, 954066641 
 39, 954067281 
 40, 954067928 
 41, 954068518 
 42, 954069141 
 43, 954069868 
 44, 954070538 
 45, 954071219 
 46, 954071954 
 47, 954073866 
 48, 954074536 
 49, 954075138 
 50, 954075761 
 51, 954076364 
 1, 211644913 
 2, 211647443 
 3, 211648206 
 4, 211648922 
 5, 211649801 
 6, 211650424 
 7, 211651275 
 8, 211651932 
 9, 211652776 
 10, 211653428 
 11, 211654146 
 12, 211654891 
 13, 211655625 
 14, 211656439 
 15, 211658907 
 17, 211659539 
 19, 211691928 
 20, 211695812 
 21, 211696620 
 22, 211697505 
 23, 211698332 
 24, 211699093 
 25, 211699830 
 26, 211700447 
 27, 211701171 
 28, 211701930 
 29, 211702641 
 30, 211703413 
 31, 211705035 
 72, 212868114 
 73, 212874074 
 74, 212874915 
 75, 212875695 
 76, 212876478 
 77, 212877187 
 78, 212877944 
 79, 212878775 
 80, 212879518 
 81, 212880337 
 82, 212881012 
 83, 212881879 
 84, 212882603 
 85, 212883382 
 86, 212884167 
 87, 212886765 
 88, 212887526 
 89, 212888336 
 90, 212889069 
 91, 212889816 
 92, 212890487 
 93, 212891209 
 94, 212891933 
 95, 212892609 
 96, 212893283 
 97, 213157831 
 98, 213158562 
 99, 213159290 
 100, 213159991 
 101, 213160872 
 102, 213163308 
 103, 213163981 
 4229259, 214557278 
 1, 215201472 
 2, 215203433 
 3, 215204245 
 4, 215204955 
 5, 215205630 
 6, 215206335 
 7, 215207457 
 8, 215208179 
 9, 215208938 
 10, 215209564 
 12, 215210309 
 13, 215242520 
 14, 215244080 
 15, 215244761 
 16, 215246972 
 17, 215247731 
 18, 215248350 
 20, 215249053 
 21, 215252784 
 22, 215253610 
 23, 215254408 
 24, 215255147 
 25, 215255959 
 26, 215256658 
 27, 215257461 
 28, 215258132 
 29, 215258999 
 30, 215259677 
 31, 215265105 
 32, 216808196 
 33, 216813414 
 34, 216814251 
 35, 216814846 
 36, 216815532 
 37, 216816264 
 38, 216816866 
 39, 216817641 
 40, 216818317 
 42, 216818917 
 43, 216823395 
 44, 216824177 
 45, 216824769 
 46, 216825472 
 54, 216826105 
 55, 216829897 
 56, 216830559 
 57, 216831967 
 58, 216832658 
 59, 216833262 
 60, 216834033 
 61, 216834757 
 62, 216835337 
 63, 216836027 
 112, 219465075 
 113, 219470363 
 114, 219471186 
 115, 219471994 
 116, 219472601 
 117, 219473459 
 118, 219474046 
 119, 219474773 
 120, 219475383 
 121, 219476183 
 122, 219476899 
 123, 219477549 
 124, 219478246 
 128, 219479062 
 129, 219483471 
 135, 219485916 
 136, 219489000 
 137, 219489725 
 138, 219490394 
 139, 219491150 
 142, 219491812 
 385, 222038223 
